q,qb
1.169,3.55E-06
1.17,3.48E-06
1.171,3.42E-06
1.172,3.36E-06
1.173,3.29E-06
1.174,3.23E-06
1.175,3.18E-06
1.176,3.12E-06
1.177,3.06E-06
1.178,3.01E-06
1.179,2.96E-06
1.18,2.90E-06
1.181,2.85E-06
1.182,2.80E-06
1.183,2.76E-06
1.184,2.71E-06
1.185,2.66E-06
1.186,2.62E-06
1.187,2.57E-06
1.188,2.53E-06
1.189,2.49E-06
1.19,2.45E-06
1.191,2.41E-06
1.192,2.37E-06
1.193,2.33E-06
1.194,2.29E-06
1.195,2.25E-06
1.196,2.22E-06
1.197,2.18E-06
1.198,2.15E-06
1.199,2.12E-06
1.2,2.08E-06
